,China,US,Sweden
Spreading rate,0.12371134,0.018528023,0.030030711
Spreading rate,0.116129032,0.019317693,0.029952948
Spreading rate,0,0.021272855,0.023593714
Spreading rate,0.173020528,0.021284676,0.013347023
Spreading rate,0.05,0.017019573,0.006025114
Spreading rate,0.130653266,0.020303826,0.01493178
Spreading rate,0.066210046,0.023362607,0.024138946
Spreading rate,0.043668122,0.021839469,0.030516516
Spreading rate,0.059447983,0.025307666,0.02234978
Spreading rate,0.049180328,0.027888974,0.020534266
Spreading rate,0.035714286,0.02470511,0.012714558
Spreading rate,0.02739726,0.023867645,0.006940772
Spreading rate,0.045364892,0.023224304,0.011934859
Spreading rate,0.009615385,0.026231012,0.013063728
Spreading rate,0.060546875,0.028883636,0.010959958
Spreading rate,0.026666667,0.030501,0.010922984
Spreading rate,0.015267176,0.028208597,0.010963158
Spreading rate,0.036750484,0.024473404,0.005741508
Spreading rate,0.02745098,0.027692185,0.004860811
Spreading rate,0.03515625,0.023529176,0.003855429
Spreading rate,0.053537285,0.032373448,0.004254538
Spreading rate,0.063218391,0.031079091,0.008184853
Spreading rate,0.082840237,0.031945972,0.005065703
Spreading rate,0,0.033806606,0.005673268
Spreading rate,0.143897996,0.029589048,0.004699333
Spreading rate,0.083032491,0.027847535,0.00157919
Spreading rate,0,0.027012342,0.002529197
Spreading rate,0.191564148,0.030843677,0.004675186
Spreading rate,0.032414911,0.030359927,0.004417457
Spreading rate,0.135678392,0.033630522,0.004016064
Spreading rate,0.11627907,0.030717997,0.004381466
Spreading rate,0.023088023,0.026089341,0.00291843
Spreading rate,0.125,0.024864883,0.001600698
Spreading rate,0.165277778,0.024725133,0.001903433
Spreading rate,0.105651106,0.025296125,0.00327788
Spreading rate,0.231308411,0.027975868,0.004294017
Spreading rate,0.137080868,0.026307196,0.003167427
Spreading rate,0.142857143,0.027663395,0.003760424
Spreading rate,0.147811726,0.024148498,0.001973289
Spreading rate,0.143181818,0.019979991,0.000599401
Spreading rate,0.145990404,0.020193266,0.001012752
Spreading rate,0.124623721,0.023381978,0.00403289
Spreading rate,0.122797357,0.025217989,0.004272231
Spreading rate,0.140744518,0.023547827,0.004268189
Spreading rate,0.077209302,0.023560104,0.00363099
Spreading rate,0.077933847,0.019140495,0.004249053
Spreading rate,0.070128717,0.015424213,0.000530637
Spreading rate,0.049608355,0.014744996,0.002303022
Spreading rate,0.046240277,0.018847772,0.004651292
Spreading rate,0.053135889,0.01769525,0.005891241
Spreading rate,0.05908684,0.019296454,0.00520941
Spreading rate,0.054844607,0.018744856,0.005210047
Spreading rate,0.043581241,0.017189154,0.00354639
Spreading rate,0.059841741,0.014600878,0.000992252
Spreading rate,0.057013118,0.015150049,0.002661561
Spreading rate,0.026395939,0.014425987,0.005647881
Spreading rate,0.047671233,0.017434812,0.00598004
Spreading rate,0.057725948,0.015866387,0.004846959
Spreading rate,0.042682927,0.019604893,0.004583733
Spreading rate,0.041746949,0.013959386,0.002997705
Spreading rate,0.065395095,0.01216266,0.000833146
Spreading rate,0.044836957,0.01087142,0.002299215
Spreading rate,0.036426117,0.013244914,0.004139968
Spreading rate,0.023895728,0.013990386,0.004608779
Spreading rate,0.03187251,0.012857143,0.004352429
Spreading rate,0.041004184,0.014153437,0.003878138
Spreading rate,0.034111311,0.012481079,0.002074205
Spreading rate,0.040235525,0.009848125,0.000737406
Spreading rate,0.023092369,0.010378826,0.002352789
Spreading rate,0.035827187,0.011349201,0.00290184
Spreading rate,0.036697248,0.012891819,0.003163499
Spreading rate,0.036585366,0.012731477,0.001717773
Spreading rate,0.028795812,0.01314198,0
Spreading rate,0.038626609,0.012585974,0
Spreading rate,0.048632219,0.009561043,0
Spreading rate,0.03030303,0.009640043,0.005387972
Spreading rate,0.031825796,0.011421141,0.001807283
Spreading rate,0.035906643,0.011164037,0.000139757
Spreading rate,0.062146893,0.011894817,0.002502795
Spreading rate,0.042226488,0.013591397,0.003244737
Spreading rate,0.034136546,0.011579027,0
Spreading rate,0.07173913,0.008386115,0
Spreading rate,0.043956044,0.006235006,0.007239419
Spreading rate,0.020179372,0.007180252,0.001869018
Spreading rate,0.030805687,0.008998556,0.002166047
Spreading rate,0.065853659,0.009561788,0.003923137
Spreading rate,0.046272494,0.012523798,0.003870518
Spreading rate,0.059431525,0.01070523,0
Spreading rate,0.076315789,0.008927083,0
Spreading rate,0.058355438,0.008774342,0
Spreading rate,0.041775457,0.010148148,0.010414213
Spreading rate,0.048648649,0.009896439,0.002822294
Spreading rate,0.113259669,0.011548584,0.003793673
Spreading rate,0.045092838,0.012462314,0.004291584
Spreading rate,0.062162162,0.010646387,0
Spreading rate,0.094339623,0.009631628,0
Spreading rate,0.030534351,0.012896041,0
Spreading rate,0.046511628,0.009760055,0.014555917
Spreading rate,0.025839793,0.009535029,0.003829309
Spreading rate,0.040871935,0.011420344,0.006354316
Spreading rate,0.046831956,0.011762459,0.007510869
Spreading rate,0.04178273,0.010850589,0
Spreading rate,0.075630252,0.009087566,0
Spreading rate,0.060606061,0.007845929,0
Spreading rate,0.0625,0.010294951,0.018143763
Spreading rate,0.046448087,0.009932842,0.004585566
Spreading rate,0.063583815,0.01087937,0.00864666
Spreading rate,0.048710602,0.012996089,0.007614965
Spreading rate,0.056980057,0.011423881,0
Spreading rate,0.070621469,0.008493762,0
Spreading rate,0.063888889,0.009117095,0
Spreading rate,0.040214477,0.010371151,0.021066208
Spreading rate,0.055248619,0.011718448,0.005893953
Spreading rate,0.113888889,0.013523373,0.009417855
Spreading rate,0.061007958,0.012806965,0.010028372
Spreading rate,0.07277628,0.012377877,0
Spreading rate,0.089238845,0.010478583,0
Spreading rate,0.044554455,0.009257547,0
