date,intensive cumulative
2020-12-26,3990
2020-12-27,4022
2020-12-28,4058
2020-12-29,4098
2020-12-30,4125
2020-12-31,4158
2021-01-01,4190
2021-01-02,4206
2021-01-03,4240
2021-01-04,4259
2021-01-05,4288
2021-01-06,4307
2021-01-07,4314
