Date,Active infections,"Current patients, COVID-19"
2020/11/28,236448,218
2020/11/29,236448,229
2020/11/30,236448,234
2020/12/1,253960,238
2020/12/2,259186,234
2020/12/3,265636,249
2020/12/4,271845,247
2020/12/5,271845,242
2020/12/6,271845,247
2020/12/7,271845,243
2020/12/8,290532,254
2020/12/9,297497,263
2020/12/10,305374,260
2020/12/11,312584,260
2020/12/12,312584,255
2020/12/13,,257
2020/12/14,,255
2020/12/15,,267
2020/12/16,,268
2020/12/17,,277
2020/12/18,,282
2020/12/19,,282
2020/12/20,,288
2020/12/21,,290
2020/12/22,,304
2020/12/23,,311
2020/12/24,,299
2020/12/25,,308
2020/12/26,,316
2020/12/27,,323
2020/12/28,,337
2020/12/29,,340
2020/12/30,,339
2020/12/31,,336
2021/1/1,,346
2021/1/2,,354
2021/1/3,,359
2021/1/4,,368
2021/1/5,,377
2021/1/6,,389
2021/1/7,,387
2021/1/8,,380
2021/1/9,,381
2021/1/10,,386
